DATE UT | type | filter | exp | h_sun | ADU
2/12/2023 23:24 | skyflat | u | 2.22 | -0.6 | 12714.0
2/12/2023 23:24 | skyflat | u | 2.22 | -0.6 | 26056.0
2/12/2023 23:25 | skyflat | u | 2.22 | -0.5 | 11796.0
2/12/2023 23:25 | skyflat | u | 2.22 | -0.5 | 24147.0
2/12/2023 23:25 | skyflat | u | 2.22 | -0.5 | 10932.0
2/12/2023 23:25 | skyflat | u | 2.22 | -0.4 | 22349.0
2/12/2023 23:26 | skyflat | u | 2.263306098896282 | -0.4 | 10116.0
2/12/2023 23:26 | skyflat | u | 2.263306098896282 | -0.4 | 21041.0
2/12/2023 23:26 | skyflat | u | 2.4212784568385306 | -0.3 | 9376.0
2/12/2023 23:26 | skyflat | u | 2.4212784568385306 | -0.3 | 20747.0
2/12/2023 23:26 | skyflat | u | 2.6368050474624907 | -0.3 | 8668.0
2/12/2023 23:27 | skyflat | u | 2.6368050474624907 | -0.2 | 20755.0
2/12/2023 23:27 | skyflat | u | 2.8517842920638183 | -0.2 | 7998.0
2/12/2023 23:27 | skyflat | u | 2.8517842920638183 | -0.2 | 20605.0
2/12/2023 23:27 | skyflat | u | 2.8517842920638183 | -0.2 | 37470.0
2/12/2023 23:34 | skyflat | z | 2.22 | -2.9 | 12870.0
2/12/2023 23:34 | skyflat | z | 2.22 | -2.9 | 26128.0
2/12/2023 23:35 | skyflat | z | 2.22 | -2.8 | 11652.0
2/12/2023 23:35 | skyflat | z | 2.22 | -2.7 | 23564.0
2/12/2023 23:35 | skyflat | z | 2.222162163785363 | -2.5 | 10503.0
2/12/2023 23:35 | skyflat | z | 2.222162163785363 | -2.5 | 21218.0
2/12/2023 23:36 | skyflat | z | 2.5178346621905163 | -2.3 | 9404.0
2/12/2023 23:36 | skyflat | z | 2.5178346621905163 | -2.2 | 21336.0
2/12/2023 23:36 | skyflat | z | 2.7864173450714307 | -4.0 | 8427.0
2/12/2023 23:36 | skyflat | z | 2.7864173450714307 | -3.9 | 20952.0
2/12/2023 23:37 | skyflat | z | 3.19176008315829 | -3.8 | 7488.0
2/12/2023 23:37 | skyflat | z | 3.19176008315829 | -3.7 | 21112.0
2/12/2023 23:37 | skyflat | z | 3.575593194132162 | -3.5 | 6557.0
2/12/2023 23:37 | skyflat | z | 3.575593194132162 | -3.5 | 20457.0
2/12/2023 23:37 | skyflat | z | 3.575593194132162 | -3.4 | 18847.0
2/12/2023 23:39 | skyflat | g | 2.22 | -4.8 | 12619.0
2/12/2023 23:40 | skyflat | g | 2.22 | -4.8 | 25592.0
2/12/2023 23:40 | skyflat | g | 2.22 | -4.7 | 11179.0
2/12/2023 23:40 | skyflat | g | 2.22 | -4.6 | 22603.0
2/12/2023 23:40 | skyflat | g | 2.28401406211901 | -4.5 | 10034.0
2/12/2023 23:41 | skyflat | g | 2.28401406211901 | -4.5 | 20820.0
2/12/2023 23:41 | skyflat | g | 2.54323499491353 | -4.4 | 9025.0
2/12/2023 23:41 | skyflat | g | 2.54323499491353 | -4.4 | 20701.0
2/12/2023 23:41 | skyflat | g | 2.849423376823407 | -4.3 | 8081.0
2/12/2023 23:41 | skyflat | g | 2.849423376823407 | -4.3 | 20627.0
2/12/2023 23:42 | skyflat | g | 3.17791151091083 | -4.2 | 7275.0
2/12/2023 23:42 | skyflat | g | 3.17791151091083 | -4.2 | 20519.0
2/12/2023 23:42 | skyflat | g | 3.561882085658451 | -4.1 | 6523.0
2/12/2023 23:42 | skyflat | g | 3.561882085658451 | -4.0 | 20493.0
