# std_name  RA  DEC  V  eV  b-y  e(b-y)  m1  em1  c1  ec1  beta  e_beta  around_star  V_star
  HD1064   003.7271433 -09.5695754      5.770  0.010 -0.042  0.005  0.128  0.006  0.784  0.006  2.807  0.009  HD360     5.986
  HD561    002.5138628 -08.9741507      7.099  0.001  0.200  0.001  0.183  0.001  0.737  0.001 -9.999 -9.999  HD360     5.986
  HD63     001.3798372 -09.6174702      7.125  0.013  0.298  0.002  0.153  0.004  0.418  0.016  2.658  0.001  HD360     5.986
  HD4293   011.2377210 -42.6765596      5.937  0.010  0.184  0.003  0.166  0.001  0.813  0.004  2.749  0.006  HD3750    6.004
  HD4849   012.5156833 -43.3949204      6.496  0.001  0.168  0.001  0.210  0.001  0.817  0.001  2.765  0.001  HD3750    6.004
  HD6767   016.9493808 -41.4868992      5.216  0.005  0.093  0.005  0.178  0.013  0.919  0.010  2.849  0.001  HD3750    6.004
  HD739    002.9333714 -35.1331156      5.243  0.010  0.286  0.007  0.158  0.008  0.436  0.008  2.651  0.004  HD4211    5.877
  HD2724   007.6159379 -40.9395831      6.184  0.009  0.192  0.001  0.189  0.006  0.883  0.008  2.748  0.001  HD4211    5.877
  HD7312   018.1893073 -37.8564800      5.936  0.023  0.171  0.005  0.193  0.003  0.813  0.004  2.771  0.009  HD4211    5.877
  HD8556   021.0854164 -06.9146740      5.923  0.003  0.269  0.005  0.152  0.008  0.471  0.006  2.668  0.005  HD5722    5.618
  HD5268   013.5733056 -08.7406636      6.181  0.026  0.574  0.005  0.287  0.004  0.418  0.021  2.537  0.001  HD5722    5.618
  HD6530   016.5214473 -09.8393520      5.588  0.016 -0.001  0.004  0.153  0.007  1.106  0.005  2.881  0.012  HD5722    5.618
  HD8651   021.1699458 -41.4925442      5.427  0.000  0.631  0.004  0.410  0.008  0.406  0.001  2.566  0.002  HD8651    5.418
  HD4919   012.6716104 -50.9868144      5.221  0.001  0.212  0.006  0.202  0.004  0.791  0.004  2.722  0.012  HD9362    3.943
  HD9362   022.8129369 -49.0727050      3.948  0.002  0.597  0.003  0.370  0.006  0.391  0.029  2.569  0.002  HD9362    3.943
  HD11413  027.7268095 -50.2061368      5.946  0.001  0.104  0.009  0.148  0.022  0.968  0.017  2.828  0.002  HD9362    3.943
  HD10142  024.6145162 -36.5282506      5.920  0.036  0.620  0.034  0.409  0.005  0.417  0.036  2.607  0.001  HD10142   5.938
  HD10538  025.5124767 -36.8323036      5.698  0.015 -0.006  0.009  0.152  0.020  1.053  0.009  2.881  0.004  HD10142   5.938
  HD9065   022.1812174 -33.7639733      6.583  0.020  0.205  0.012  0.156  0.015  0.767  0.005  2.718  0.004  HD10142   5.938
  HD17848  042.2561957 -62.8065255      5.253  0.006  0.045  0.017  0.200  0.033  1.002  0.019  2.878  0.012  HD11977   4.686
  HD13709  033.2269575 -30.7238256      5.283  0.011  0.000  0.001  0.119  0.006  1.059  0.006  2.801  0.004  HD12438   5.344
  HD14412  034.7437686 -25.9456874      6.337  0.008  0.442  0.003  0.256  0.008  0.236  0.006  2.602  0.012  HD12438   5.344
  HD15633  037.6883478 +00.2557492      6.005  0.007  0.089  0.001  0.195  0.007  0.988  0.001  2.852  0.007  HD13468   5.934
  HD16287  039.1740122 -03.1561308      8.089  0.001  0.544  0.001  0.479  0.002  0.290  0.001  2.554  0.001  HD13468   5.934
  HD14459  035.0270089 -00.4587152      8.111  0.006  0.467  0.001  0.238  0.001  0.348  0.011  2.565  0.001  HD13468   5.934
  HD12583  030.7440374 -15.3059287      5.874  0.001  0.595  0.001  0.369  0.001  0.434  0.001  2.617  0.001  HD15220   5.881
  HD13692  033.2541145 -21.0001366      5.869  0.007  0.610  0.003  0.406  0.028  0.419  0.005  2.602  0.004  HD15220   5.881
  HD18071  043.3971803 -22.3763130      5.886  0.001  0.598  0.001  0.362  0.001  0.382  0.001  2.591  0.001  HD15220   5.881
  HD15588  037.4806441 -22.6831972      6.748  0.017  0.090  0.007  0.227  0.016  0.939  0.010  2.862  0.002  HD15220   5.881
  HD21722  051.4010611 -69.3364320      5.955  0.001  0.273  0.004  0.162  0.004  0.523  0.007  2.681  0.000  HD15248   6.001
  HD20335  047.5805734 -74.2970894      6.902  0.001  0.338  0.001  0.149  0.001  0.384  0.001  2.641  0.001  HD15248   6.001
  HD15633  037.6883478 +00.2557492      6.005  0.007  0.089  0.001  0.195  0.007  0.988  0.001  2.852  0.007  HD15779   5.357
  HD14690  035.5516500 -00.8848545      5.514  0.122  0.196  0.002  0.174  0.004  0.868  0.008  2.728  0.004  HD15779   5.357
  HD16975  040.5275328 -38.3836872      5.963  0.001  0.520  0.001  0.337  0.001  0.388  0.001  2.615  0.001  HD16815   4.109
  HD18149  043.3933252 -38.4370021      5.920  0.014  0.285  0.001  0.163  0.005  0.549  0.018  2.665  0.000  HD16815   4.109
  HD16046  038.4612910 -28.2323454      4.951  0.035 -0.017  0.013  0.126  0.002  0.963  0.004  2.848  0.008  HD17652   4.456
  HD20606  049.5108165 -28.7970815      5.926  0.001  0.202  0.001  0.175  0.001  0.751  0.001  2.738  0.001  HD17652   4.456
  HD15417  039.2442039 -34.5779783      5.778  0.003  0.413  0.001  0.208  0.002  0.386  0.008  2.639  0.001  HD17652   4.456
  HD14802  035.6351131 -23.8163167      5.191  0.007  0.387  0.002  0.191  0.011  0.380  0.008  2.592  0.023  HD17824   4.764
  HD18454  044.3490277 -23.8621670      5.469  0.063  0.133  0.001  0.215  0.006  0.861  0.008  2.823  0.001  HD17824   4.764
  HD20894  050.3500412 -23.6351430      5.468  0.038  0.546  0.006  0.317  0.011  0.419  0.017  2.608  0.001  HD17824   4.764
  HD21665  052.4130744 -06.8044540      5.947  0.064  0.626  0.004  0.403  0.013  0.427  0.004  2.605  0.009  HD18784   5.748
  HD18885  045.4838268 -09.9614080      5.806  0.033  0.643  0.034  0.484  0.016  0.378  0.030  2.606  0.001  HD18784   5.748
  HD20395  049.1490126 -09.1546360      6.132  0.028  0.266  0.008  0.154  0.008  0.470  0.004  2.668  0.007  HD18784   5.748
  HD23958  056.9567350 -36.1057849      6.205  0.018 -0.049  0.002  0.116  0.005  0.683  0.002  2.751  0.008  HD23319   4.583
  HD21899  052.5565780 -41.3699370      6.082  0.048  0.319  0.004  0.167  0.004  0.445  0.006  2.658  0.020  HD23319   4.583
  HD21933  053.1497892 +09.3734376      5.770  0.011 -0.031  0.002  0.117  0.003  0.735  0.011  2.786  0.004  HD23526   5.909
  HD25102  059.9187383 +10.3303946      6.362  0.025  0.272  0.001  0.171  0.002  0.478  0.001  2.674  0.004  HD23526   5.909
  HD22211  053.7045052 +06.4176907      6.485  0.030  0.409  0.004  0.183  0.007  0.452  0.016  2.615  0.003  HD23526   5.909
  HD20606  049.5108165 -28.7970815      5.926  0.001  0.202  0.001  0.175  0.001  0.751  0.001  2.738  0.001  HD23940   5.543
