# Standard stars for Stromgren used on 4.1m SOAR telescope
# std_name     RA[hh mm ss.s]     DEC[deg mm ss.s]   Vstd   eVstd  b-y    eb-y   m1     em1    c1     ec1    beta    ebeta
HD64       00 05 27.6870168720 -33 22 28.075509120 10.352  0.001  0.277  0.001  0.174  0.001  0.511  0.001  -9.999  -9.999
HD3417     00 36 52.2534665712 -34 16 50.395827648 10.778  0.025  0.188  0.004  0.175  0.005  0.714  0.005   2.737   0.001 
HD8147     01 20 00.7933479384 -45 27 31.971808692  9.656  0.005  0.045  0.004  0.177  0.004  1.057  0.008   2.896   0.009 
HD9932     01 36 08.9856856752 -44 05 23.414551296  9.705  0.005  0.150  0.006  0.182  0.007  0.821  0.007   2.805   0.010 
HD12756    02 04 18.5245447512 -30 24 25.691888952  9.924  0.001  0.318  0.001  0.159  0.001  0.437  0.001  -9.999  -9.999 
HD22610    03 34 45.2933750784 -62 27 24.602696388  9.420  0.012  0.511  0.004  0.420  0.006  0.260  0.005  -9.999  -9.999   
HD26273    04 07 24.6764670600 -44 00 00.695735028  9.667  0.007  0.158  0.006  0.172  0.009  0.830  0.006   2.776   0.011 
HD26744    04 11 44.7618130824 -44 49 02.230185612  9.672  0.006  0.362  0.006  0.185  0.008  0.373  0.009   2.619   0.009 
HD48855    06 43 14.1102196392 -45 14 30.284121552 10.647  0.008  0.034  0.004  0.156  0.002  0.985  0.013   2.897   0.023 
HD57568    07 21 22.6838212274 -12 38 14.054822426  9.930  0.001  0.580  0.002  0.569  0.005  0.199  0.010   2.509   0.001 
HD58489    07 24 04.6088055648 -40 02 45.841494768  9.735  0.001  0.604  0.003  0.643  0.012  0.225  0.012  -9.999  -9.999   
HD66020    08 00 02.1481268853 -40 02 21.903166629  9.635  0.003  0.759  0.003  0.715  0.011  0.046  0.020  -9.999  -9.999 
HD219057   23 13 09.8157352392 -30 26 59.297952192  9.731  0.240  0.402  0.006  0.198  0.008  0.309  0.006  -9.999  -9.999 
CD-45_460  01 24 12.5114072016 -44 27 00.046529280 10.886  0.005  0.405  0.010  0.194  0.018  0.369  0.021   2.610   0.022 
CD-45_2690 06 42 25.3464563328 -45 09 12.380256900 10.057  0.007  0.700  0.005  0.549  0.009  0.385  0.025  -9.999  -9.999  
CD-44_2834 06 40 10.7983910712 -45 06 03.330273924  9.721  0.004  0.573  0.005  0.357  0.006  0.397  0.015  -9.999  -9.999  
NGC330_A   00 56 03.3594571583 -72 29 08.001138781 12.339  0.015  0.402  0.015  0.152  0.012  0.400  0.017  -9.999  -9.999 
NGC330_B   00 55 53.8331471478 -72 28 29.109807977 13.140  0.007  0.449  0.018  0.222  0.030  0.293  0.020  -9.999  -9.999 
NGC330_D   00 56 07.1887075536 -72 28 13.823874455 13.378  0.013  0.076  0.012  0.048  0.022  0.592  0.030  -9.999  -9.999 
NGC330_G   00 55 52.8402185589 -72 26 31.532002935 14.301  0.019  0.042  0.030  0.095  0.050  0.704  0.040  -9.999  -9.999
NGC2257_A  06 30 25.6945459129 -64 18 58.474737773 11.096  0.004  0.504  0.003  0.245  0.009  0.362  0.018  -9.999  -9.999
NGC2257_B  06 30 38.6930726538 -64 21 41.881006162 11.222  0.005  0.632  0.005  0.456  0.007  0.366  0.011  -9.999  -9.999 
NGC2257_D  06 30 28.4328653639 -64 20 06.229750998 11.974  0.005  0.666  0.007  0.406  0.016  0.383  0.026  -9.999  -9.999 
